agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q Action Penalty,3,50,51.0,0.029411764705882353,5013.0,34.0
Q Action Penalty,3,51,52.0,0.03125,5045.0,32.0
Q Action Penalty,3,52,53.0,0.045454545454545456,5067.0,22.0
Q Action Penalty,3,53,54.0,0.030303030303030304,5100.0,33.0
Q Action Penalty,3,54,55.0,0.03333333333333333,5130.0,30.0
Q Action Penalty,3,55,56.0,0.0196078431372549,5181.0,51.0
Q Action Penalty,3,56,57.0,0.03125,5213.0,32.0
Q Action Penalty,3,57,58.0,0.04,5238.0,25.0
Q Action Penalty,3,58,59.0,0.022727272727272728,5282.0,44.0
Q Action Penalty,3,59,60.0,0.038461538461538464,5308.0,26.0
Q Action Penalty,3,60,61.0,0.029411764705882353,5342.0,34.0
Q Action Penalty,3,61,62.0,0.03125,5374.0,32.0
Q Action Penalty,3,62,63.0,0.045454545454545456,5396.0,22.0
Q Action Penalty,3,63,64.0,0.022727272727272728,5440.0,44.0
Q Action Penalty,3,64,65.0,0.037037037037037035,5467.0,27.0
Q Action Penalty,3,65,66.0,0.05,5487.0,20.0
Q Action Penalty,3,66,67.0,0.045454545454545456,5509.0,22.0
Q Action Penalty,3,67,68.0,0.045454545454545456,5531.0,22.0
Q Action Penalty,3,68,69.0,0.041666666666666664,5555.0,24.0
Q Action Penalty,3,69,70.0,0.045454545454545456,5577.0,22.0
Q Action Penalty,3,70,71.0,0.043478260869565216,5600.0,23.0
Q Action Penalty,3,71,72.0,0.047619047619047616,5621.0,21.0
Q Action Penalty,3,72,73.0,0.041666666666666664,5645.0,24.0
Q Action Penalty,3,73,74.0,0.03125,5677.0,32.0
Q Action Penalty,3,74,75.0,0.03571428571428571,5705.0,28.0
Q Action Penalty,3,75,76.0,0.043478260869565216,5728.0,23.0
Q Action Penalty,3,76,77.0,0.045454545454545456,5750.0,22.0
Q Action Penalty,3,77,78.0,0.038461538461538464,5776.0,26.0
Q Action Penalty,3,78,79.0,0.034482758620689655,5805.0,29.0
Q Action Penalty,3,79,80.0,0.038461538461538464,5831.0,26.0
Q Action Penalty,3,80,81.0,0.05,5851.0,20.0
Q Action Penalty,3,81,82.0,0.045454545454545456,5873.0,22.0
Q Action Penalty,3,82,83.0,0.03333333333333333,5903.0,30.0
Q Action Penalty,3,83,84.0,0.045454545454545456,5925.0,22.0
Q Action Penalty,3,84,85.0,0.043478260869565216,5948.0,23.0
Q Action Penalty,3,85,86.0,0.04,5973.0,25.0
Q Action Penalty,3,86,87.0,0.038461538461538464,5999.0,26.0
Q Action Penalty,3,87,88.0,0.037037037037037035,6026.0,27.0
Q Action Penalty,3,88,89.0,0.045454545454545456,6048.0,22.0
Q Action Penalty,3,89,90.0,0.047619047619047616,6069.0,21.0
Q Action Penalty,3,90,91.0,0.047619047619047616,6090.0,21.0
Q Action Penalty,3,91,92.0,0.047619047619047616,6111.0,21.0
Q Action Penalty,3,92,93.0,0.045454545454545456,6133.0,22.0
Q Action Penalty,3,93,94.0,0.05,6153.0,20.0
Q Action Penalty,3,94,95.0,0.05,6173.0,20.0
Q Action Penalty,3,95,96.0,0.045454545454545456,6195.0,22.0
Q Action Penalty,3,96,97.0,0.04,6220.0,25.0
Q Action Penalty,3,97,98.0,0.045454545454545456,6242.0,22.0
Q Action Penalty,3,98,99.0,0.043478260869565216,6265.0,23.0
Q Action Penalty,3,99,100.0,0.04,6290.0,25.0
Q Action Penalty,4,0,1.0,0.0028011204481792717,357.0,357.0
Q Action Penalty,4,1,2.0,0.001718213058419244,939.0,582.0
Q Action Penalty,4,2,3.0,0.002369668246445498,1361.0,422.0
